stock,date,open,close,sentiment_score
vz,2013-05-19,34.1951,33.8008,0.0
vz,2013-05-21,34.1951,33.8008,0.0
vz,2013-06-06,31.3563,32.4362,0.0
vz,2013-06-26,32.9772,32.8869,0.0
vz,2013-07-08,33.4997,33.5512,0.0
vz,2013-07-23,33.0005,33.019,0.0
vz,2013-08-08,32.8228,32.5373,0.0
vz,2013-08-15,31.9069,31.8273,-0.9899084568023682
vz,2013-08-29,31.8798,31.3563,0.0
vz,2013-08-30,31.7039,31.4077,0.0
vz,2013-09-01,29.8488,30.1645,0.0
vz,2013-09-02,29.8488,30.1645,0.0
vz,2013-09-03,29.8488,30.1645,0.0
vz,2013-09-06,30.8211,30.384,-0.9899454712867736
vz,2013-09-09,30.3918,30.1024,0.0
vz,2013-09-27,31.095,30.8181,0.0
vz,2013-10-17,32.1954,32.4266,1.0
vz,2013-10-22,33.5279,33.9135,0.0
vz,2013-10-24,33.8465,33.4357,0.0
vz,2013-11-20,33.6843,33.4202,-0.9999860525131226
vz,2013-12-20,32.5188,32.2274,0.0
vz,2014-01-07,32.5703,32.6927,0.0
vz,2014-01-21,32.6985,31.974,1.0
vz,2014-01-28,31.9507,31.7467,0.0
vz,2014-02-19,30.6647,31.1912,0.0
vz,2014-04-24,32.1284,31.365,0.9999997615814208
vz,2014-05-15,32.4324,32.5052,0.0
vz,2014-05-30,33.5843,33.865,0.0
vz,2014-06-13,33.1637,33.3337,0.0
vz,2014-06-20,33.7124,33.4755,0.0
vz,2014-06-26,33.4901,33.3531,-0.9490793943405152
vz,2014-07-22,34.9275,34.9275,1.0
vz,2014-10-21,33.3162,33.7299,-0.999952793121338
vz,2015-01-22,33.7299,33.5066,0.9999992847442628
vz,2015-01-30,32.1264,32.041,0.0
vz,2015-02-05,33.6843,33.5483,0.0
vz,2015-02-06,33.8202,34.5788,0.0
vz,2015-05-12,34.9984,35.1741,0.0
vz,2015-07-21,33.7018,33.6891,0.9999957084655762
vz,2015-07-25,32.951,32.8704,0.0
vz,2015-09-17,32.5615,32.4392,0.0
vz,2015-10-20,32.6363,32.8684,0.9999990463256836
vz,2015-11-06,33.4114,33.2608,0.0
vz,2015-12-07,33.0297,33.4658,0.0
vz,2016-01-06,33.459,33.4784,0.0
vz,2016-01-21,33.0937,33.7357,0.999993085861206
vz,2016-01-22,34.1311,34.6002,0.0
vz,2016-02-08,37.2167,37.3196,0.9689683318138124
vz,2016-03-07,37.8995,38.4005,0.0
vz,2016-03-14,38.6493,38.6425,0.0
vz,2016-04-07,39.0367,38.6493,0.0
